,compound,date,negative,neutral,positive,text,user
0,0.2263,Sun Jan 07 20:03:03 +0000 2018,0.107,0.734,0.158,"Switzerland's Schindler? 
Carl Lutz is the forgotten Swiss diplomat who rescued thousands from Holocaust.… https://t.co/LNzRhFR6LN",@BBC
1,0.7351,Sun Jan 07 19:30:04 +0000 2018,0.0,0.721,0.279,"Tonight, Michael Palin shares the story behind his outstanding career in television and film. ✨ 

Michael Palin: A… https://t.co/VOYzhp6JyU",@BBC
2,0.0,Sun Jan 07 19:25:10 +0000 2018,0.0,1.0,0.0,RT @BBCWorld: Snowing or glowing? https://t.co/em8Ks1aGPZ,@BBC
3,0.0,Sun Jan 07 19:22:48 +0000 2018,0.0,1.0,0.0,"RT @BBCRadio4: 🎪 Roll up! Roll up!
https://t.co/AeAloY7XGG",@BBC
4,0.0,Sun Jan 07 19:19:39 +0000 2018,0.0,1.0,0.0,"RT @bbccomedy: We can't keep up with the Karcrashians. OHMIGOD, SO PWETTY!!!! https://t.co/eJV7FijmOB",@BBC
5,-0.1531,Sun Jan 07 19:18:56 +0000 2018,0.074,0.926,0.0,"RT @bbcmusic: Ed Sheeran performing 'Perfect' with Jools Holland and his Rhythm &amp; Blues Orchestra was rather exceptional 💕
-
Miss the show?…",@BBC
6,0.3612,Sun Jan 07 19:00:05 +0000 2018,0.0,0.898,0.102,"You can learn what an animal sounds like from what it evolved to hear. 

And it turns out, T rex sounded nothing li… https://t.co/BuXuJ3majp",@BBC
7,0.0,Sun Jan 07 18:32:03 +0000 2018,0.0,1.0,0.0,"Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough an… https://t.co/xWsAFgCQu8",@BBC
8,0.6369,Sun Jan 07 17:59:05 +0000 2018,0.0,0.682,0.318,Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6,@BBC
9,0.4215,Sun Jan 07 17:19:01 +0000 2018,0.0,0.797,0.203,"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",@BBC
10,0.128,Sun Jan 07 16:53:27 +0000 2018,0.308,0.359,0.333,"The best, worst and weirdest #FACup fan fashion. ⚽️💅 https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ",@BBC
11,-0.0258,Sun Jan 07 16:34:03 +0000 2018,0.155,0.695,0.15,RT @BBC_designed: Eastern Block design is back and it’s inspiring a whole new fashion movement. 🎉 https://t.co/xS6vJ68vX8,@BBC
12,0.5859,Sun Jan 07 16:31:59 +0000 2018,0.0,0.612,0.388,RT @BBCWorld: A beauty contest with a difference 🐟 https://t.co/ardDeFBwO5,@BBC
13,0.6369,Sun Jan 07 16:31:55 +0000 2018,0.0,0.769,0.231,RT @bbcthree: Becoming a single mum was the best thing that happened to me  https://t.co/64ZeqQRwE0 https://t.co/bJROBhtERz,@BBC
14,0.0,Sun Jan 07 16:31:45 +0000 2018,0.0,1.0,0.0,RT @BBCScotland: 'Official sightings' of Nessie in 2017 were the highest this century 🐉 https://t.co/eToUiRbB0Z,@BBC
15,0.4019,Sun Jan 07 16:31:39 +0000 2018,0.0,0.828,0.172,RT @bbccomedy: When your wife is definitely not your wife... 😳😂 #WouldILieToYou @joelycett https://t.co/Rr268sR8p6,@BBC
16,0.0,Sun Jan 07 16:30:09 +0000 2018,0.0,1.0,0.0,"The Ricky &amp; Graham Show, anyone?

#TheGNShow https://t.co/BvFk05j0Zq",@BBC
17,0.0,Sun Jan 07 16:27:07 +0000 2018,0.0,1.0,0.0,"RT @bbcmusic: You might recognise some of the names who voted in the #SoundOf2018 poll..

Hiya @stormzy1, @elliegoulding and @alexander_oll…",@BBC
18,0.0,Sun Jan 07 16:25:04 +0000 2018,0.0,1.0,0.0,RT @BBCTwo: Here's why doves will not be appearing at the Tokyo 2020 Olympics. 🕊😳 #QI https://t.co/Fm1FX4WzTQ,@BBC
19,0.0,Sun Jan 07 16:19:01 +0000 2018,0.0,1.0,0.0,"RT @BBCOne: 📞 INCOMING. 
#McMafia continues tonight at 9pm, @BBCOne. Don’t be late. https://t.co/z1JBKX7RAl",@BBC
20,0.2263,Sun Jan 07 20:03:03 +0000 2018,0.107,0.734,0.158,"Switzerland's Schindler? 
Carl Lutz is the forgotten Swiss diplomat who rescued thousands from Holocaust.… https://t.co/LNzRhFR6LN",@BBC
21,0.7351,Sun Jan 07 19:30:04 +0000 2018,0.0,0.721,0.279,"Tonight, Michael Palin shares the story behind his outstanding career in television and film. ✨ 

Michael Palin: A… https://t.co/VOYzhp6JyU",@BBC
22,0.0,Sun Jan 07 19:25:10 +0000 2018,0.0,1.0,0.0,RT @BBCWorld: Snowing or glowing? https://t.co/em8Ks1aGPZ,@BBC
23,0.0,Sun Jan 07 19:22:48 +0000 2018,0.0,1.0,0.0,"RT @BBCRadio4: 🎪 Roll up! Roll up!
https://t.co/AeAloY7XGG",@BBC
